Date,HomeTeam,AwayTeam,HomeTeamExpenditure,HomeTeamIncome,HomeTeamBalance,AwayTeamExpenditure,AwayTeamIncome,AwayTeamBalance,home_rest_time,away_rest_time,HomeFTHG_all_avg_25,AwayFTHG_all_avg_25,HomeFTAG_all_avg_25,AwayFTAG_all_avg_25,HomeHTHG_all_avg_25,AwayHTHG_all_avg_25,HomeHTAG_all_avg_25,AwayHTAG_all_avg_25,HomeHS_all_avg_25,AwayHS_all_avg_25,HomeAS_all_avg_25,AwayAS_all_avg_25,HomeHST_all_avg_25,AwayHST_all_avg_25,HomeAST_all_avg_25,AwayAST_all_avg_25,HomeHC_all_avg_25,AwayHC_all_avg_25,HomeAC_all_avg_25,AwayAC_all_avg_25,HomeHF_all_avg_25,AwayHF_all_avg_25,HomeAF_all_avg_25,AwayAF_all_avg_25,HomeHY_all_avg_25,AwayHY_all_avg_25,HomeAY_all_avg_25,AwayAY_all_avg_25,HomeHR_all_avg_25,AwayHR_all_avg_25,HomeAR_all_avg_25,AwayAR_all_avg_25,Homehome_rest_time_all_avg_25,Awayhome_rest_time_all_avg_25,Homeaway_rest_time_all_avg_25,Awayaway_rest_time_all_avg_25,HomeFTHG_same_avg_2,AwayFTAG_same_avg_2,HomeHTHG_same_avg_2,AwayHTAG_same_avg_2,HomeHS_same_avg_2,AwayAS_same_avg_2,HomeHST_same_avg_2,AwayAST_same_avg_2,HomeHC_same_avg_2,AwayAC_same_avg_2,HomeHF_same_avg_2,AwayAF_same_avg_2,HomeHY_same_avg_2,AwayAY_same_avg_2,HomeHR_same_avg_2,AwayAR_same_avg_2,Awayhome_rest_time_same_avg_2,Awayaway_rest_time_same_avg_2,HomeWinStreak,HomeLossStreak,AwayWinStreak,AwayLossStreak,Rk_Home,W_Home,D_Home,L_Home,GF_Home,GA_Home,GD_Home,Pts_Home,Rk_Away,W_Away,D_Away,L_Away,GF_Away,GA_Away,GD_Away,Pts_Away,HomeElo,AwayElo,EloDiff,FTR
2002-08-17,Southampton,Middlesbrough,12.0,0.0,-12.0,34.08,0.0,-34.08,98,98,1.24,1.04,1.16,0.92,0.6,0.56,0.56,0.48,10.56,13.16,8.56,7.76,4.6,5.48,4.24,3.32,5.64,7.76,4.8,3.44,14.04,15.04,13.44,13.6,0.88,1.44,1.36,1.56,0.16,0.0,0.08,0.16,8.28,7.32,7.84,7.32,1.0,2.0,0.5,1.0,12.5,5.5,6.0,3.0,9.5,3.5,11.5,17.0,1.5,1.5,0.0,0.5,5.5,5.5,1,0,0,4,11.0,12.0,9.0,17.0,46.0,54.0,-8.0,45.0,12.0,12.0,9.0,17.0,35.0,47.0,-12.0,45.0,1486.3721497914673,1471.8130880859956,14.559061705471777,1
2002-08-17,Charlton,Chelsea,6.75,2.65,-4.1,0.0,2.1,2.1,98,98,1.32,0.88,1.6,1.44,0.68,0.32,0.8,0.6,10.52,10.2,9.68,10.88,5.52,4.96,5.32,4.76,6.8,5.24,5.08,5.16,12.84,12.8,12.92,13.76,1.52,1.24,1.88,2.24,0.12,0.04,0.12,0.08,11.48,6.48,12.4,6.6,2.0,0.5,0.5,0.0,9.5,8.5,6.0,2.5,4.5,4.5,15.5,17.5,2.0,2.0,0.0,0.0,6.5,13.5,0,0,0,1,14.0,10.0,14.0,14.0,38.0,49.0,-11.0,44.0,6.0,17.0,13.0,8.0,66.0,38.0,28.0,64.0,1472.8429210771321,1583.0040524816504,-110.1611314045183,0
2002-08-17,Everton,Tottenham,13.88,0.38,-13.5,10.5,1.35,-9.15,98,98,1.52,1.68,1.28,1.0,0.6,0.6,0.56,0.4,12.2,13.48,8.96,9.28,6.28,7.12,3.88,4.2,5.64,7.32,4.64,4.32,14.2,12.12,13.68,11.8,1.28,1.24,1.84,1.96,0.16,0.0,0.24,0.16,6.84,6.56,6.48,6.12,0.5,0.5,0.0,0.5,17.5,5.5,9.5,1.5,8.5,0.0,13.0,13.5,2.0,1.0,0.0,1.0,7.0,6.5,0,2,0,1,15.0,11.0,10.0,17.0,45.0,57.0,-12.0,43.0,9.0,14.0,8.0,16.0,49.0,53.0,-4.0,50.0,1450.4979556878782,1489.3642964784494,-38.86634079057126,1
2002-08-18,Aston Villa,Liverpool,9.08,6.9,-2.18,31.5,11.8,-19.7,99,99,1.24,0.84,0.92,1.84,0.64,0.32,0.52,0.68,9.12,10.88,7.28,10.24,4.52,5.16,2.96,6.0,6.08,6.28,3.32,4.52,11.8,11.72,13.28,11.92,0.96,1.16,2.12,1.36,0.04,0.08,0.08,0.04,6.96,6.8,7.56,7.36,0.5,2.5,0.5,1.5,7.5,12.0,3.0,6.0,4.0,3.5,8.5,9.5,1.5,0.0,0.0,0.0,8.0,7.5,2,0,2,0,8.0,12.0,14.0,12.0,46.0,47.0,-1.0,50.0,2.0,24.0,8.0,6.0,67.0,30.0,37.0,80.0,1499.163815472719,1688.9993696309416,-189.83555415822252,0
2002-08-19,Newcastle,West Ham,34.55,0.23,-34.33,0.4,0.08,-0.33,100,100,1.92,2.16,1.08,0.88,0.92,0.96,0.76,0.4,13.88,14.16,7.84,8.8,6.64,7.32,3.84,4.04,7.68,6.92,3.52,4.52,13.2,13.2,14.32,11.72,0.84,1.6,1.96,2.0,0.04,0.04,0.16,0.12,6.48,10.76,6.72,10.8,2.5,1.0,1.0,0.5,18.0,12.0,9.5,5.5,7.5,3.5,14.5,8.5,0.5,1.0,0.0,0.0,3.0,2.5,0,1,1,0,4.0,21.0,8.0,9.0,74.0,52.0,22.0,71.0,7.0,15.0,8.0,15.0,48.0,57.0,-9.0,53.0,1590.870125772372,1516.1636047544987,74.70652101787323,2
2002-08-23,Chelsea,Man United,0.0,2.1,2.1,48.53,3.5,-45.03,6,6,2.04,1.48,1.16,2.12,1.16,0.8,0.4,0.88,14.48,12.12,8.88,12.68,6.52,5.08,4.44,6.44,6.2,5.12,4.72,5.64,13.08,12.56,14.76,12.4,1.56,1.24,1.72,1.52,0.04,0.08,0.08,0.04,11.04,7.64,11.6,7.56,0.5,2.0,0.5,1.0,7.5,11.0,3.0,5.5,7.5,6.5,12.5,9.0,2.0,1.5,0.0,0.0,8.5,10.5,1,0,1,0,6.0,17.0,13.0,8.0,66.0,38.0,28.0,64.0,3.0,24.0,5.0,9.0,87.0,45.0,42.0,77.0,1593.4012349981242,1667.8760483077976,-74.47481330967344,1
2002-08-24,Liverpool,Southampton,31.5,11.8,-19.7,12.0,0.0,-12.0,6,7,1.8,1.56,0.8,1.0,0.8,0.84,0.4,0.16,12.84,11.72,7.96,8.64,5.8,5.6,3.4,3.92,5.68,5.72,4.08,3.88,11.16,12.96,13.08,14.76,0.88,0.92,1.8,1.32,0.16,0.0,0.04,0.08,10.84,10.6,11.08,9.76,1.5,1.0,1.0,0.5,12.5,6.5,6.5,2.5,11.5,2.5,9.0,11.0,0.0,1.0,0.0,0.0,6.0,4.0,3,0,0,0,2.0,24.0,8.0,6.0,67.0,30.0,37.0,80.0,11.0,12.0,9.0,17.0,46.0,54.0,-8.0,45.0,1696.5322167724478,1485.7439522270845,210.7882645453633,2
2002-08-24,Tottenham,Aston Villa,10.5,1.35,-9.15,9.08,6.9,-2.18,7,6,1.64,1.56,1.24,1.24,0.84,0.64,0.44,0.68,11.8,12.24,10.68,10.08,5.2,6.04,5.2,5.08,5.76,6.04,6.08,4.4,12.56,13.0,12.16,13.88,0.96,1.44,1.28,1.64,0.08,0.24,0.04,0.08,12.36,10.96,11.4,11.04,0.0,0.0,0.0,0.0,7.5,9.0,2.5,3.0,5.5,5.5,12.5,15.0,2.0,1.0,0.0,0.0,48.5,49.0,0,0,0,1,9.0,14.0,8.0,16.0,49.0,53.0,-4.0,50.0,8.0,12.0,14.0,12.0,46.0,47.0,-1.0,50.0,1487.6932663177158,1491.630968331213,-3.9377020134970735,2
2002-08-24,West Ham,Arsenal,0.4,0.08,-0.33,12.83,8.22,-4.61,5,6,1.52,0.84,0.88,1.84,0.72,0.48,0.4,1.12,13.4,8.16,11.16,10.64,6.76,3.36,4.84,5.48,6.2,5.48,5.04,4.96,12.52,14.04,13.16,14.48,1.68,1.68,1.92,2.12,0.04,0.12,0.16,0.2,7.32,11.44,6.48,11.68,1.0,1.5,0.5,1.5,9.5,14.5,3.5,5.5,6.0,5.0,12.5,12.5,2.5,1.5,0.0,0.0,7.0,6.5,0,1,14,0,7.0,15.0,8.0,15.0,48.0,57.0,-9.0,53.0,1.0,26.0,9.0,3.0,79.0,36.0,43.0,87.0,1504.3401393520107,1749.0577469924526,-244.71760764044188,1
2002-08-24,Sunderland,Everton,29.68,0.0,-29.68,13.88,0.38,-13.5,7,7,1.04,1.8,1.04,0.96,0.36,0.72,0.36,0.48,14.04,12.64,10.08,8.08,7.4,5.48,4.76,3.96,5.88,6.52,4.64,3.68,14.6,12.12,14.84,14.8,1.76,0.92,2.08,1.92,0.04,0.12,0.08,0.12,11.16,11.4,11.28,11.48,1.5,0.0,0.5,0.0,17.0,7.5,8.0,3.5,7.0,4.5,17.0,19.0,0.5,3.5,0.0,0.0,8.0,6.0,0,0,0,0,17.0,10.0,10.0,18.0,29.0,51.0,-22.0,40.0,15.0,11.0,10.0,17.0,45.0,57.0,-12.0,43.0,1438.0699940410314,1452.1689858486118,-14.098991807580433,0
