Date,HomeTeam,AwayTeam,FTR,HTR,Referee,HomeTeamExpenditure,HomeTeamIncome,HomeTeamBalance,AwayTeamExpenditure,AwayTeamIncome,AwayTeamBalance
2000-08-19,Charlton,Man City,H,H,Rob Harris,20.8,0.532,-20.27,20.28,1.46,-18.81
2000-08-19,Chelsea,West Ham,H,H,Graham Barber,52.39,37.72,-14.67,18.65,42.4,23.75
2000-08-19,Coventry,Middlesbrough,A,D,Barry Knight,19.0,26.28,7.28,33.47,10.0,-23.47
2000-08-19,Derby,Southampton,D,A,Andy D'Urso,13.33,6.88,-6.45,0.0,0.145,0.145
2000-08-19,Leeds,Everton,H,H,Dermot Gallagher,53.15,12.33,-40.82,34.48,35.55,1.07
2000-08-19,Leicester,Aston Villa,D,D,Mike Riley,11.7,9.7,-2.0,21.12,20.82,-0.305
2000-08-19,Liverpool,Bradford,H,D,Paul Durkin,34.0,19.61,-14.4,6.61,8.94,2.34
2000-08-19,Sunderland,Arsenal,H,D,Steve Dunn,16.87,5.53,-11.34,56.3,49.53,-6.78
2000-08-19,Tottenham,Ipswich,H,H,Alan Wiley,25.74,2.46,-23.29,9.6,4.5,-5.1
2000-08-20,Man United,Newcastle,H,H,Steve Lodge,11.7,9.88,-1.83,25.91,26.39,0.475
2000-08-21,Arsenal,Liverpool,H,H,Graham Poll,56.3,49.53,-6.78,34.0,19.61,-14.4
2000-08-22,Bradford,Chelsea,H,H,Mark Halsey,6.61,8.94,2.34,52.39,37.72,-14.67
2000-08-22,Ipswich,Man United,D,D,Jeff Winter,9.6,4.5,-5.1,11.7,9.88,-1.83
2000-08-22,Middlesbrough,Tottenham,D,A,Peter Jones,33.47,10.0,-23.47,25.74,2.46,-23.29
2000-08-23,Everton,Charlton,H,D,Andy Hall,34.48,35.55,1.07,20.8,0.532,-20.27
2000-08-23,Man City,Sunderland,H,H,David Ellaray,20.28,1.46,-18.81,16.87,5.53,-11.34
2000-08-23,Newcastle,Derby,H,D,Dermot Gallagher,25.91,26.39,0.475,13.33,6.88,-6.45
2000-08-23,Southampton,Coventry,A,A,F Taylor,0.0,0.145,0.145,19.0,26.28,7.28
2000-08-23,West Ham,Leicester,A,D,Rob Styles,18.65,42.4,23.75,11.7,9.7,-2.0
2000-08-26,Arsenal,Charlton,H,A,Steve Lodge,56.3,49.53,-6.78,20.8,0.532,-20.27
2000-08-26,Bradford,Leicester,D,D,Steve Bennett,6.61,8.94,2.34,11.7,9.7,-2.0
2000-08-26,Everton,Derby,D,H,Mike Riley,34.48,35.55,1.07,13.33,6.88,-6.45
2000-08-26,Ipswich,Sunderland,H,D,Graham Poll,9.6,4.5,-5.1,16.87,5.53,-11.34
2000-08-26,Man City,Coventry,A,A,Andy D'Urso,20.28,1.46,-18.81,19.0,26.28,7.28
2000-08-26,Middlesbrough,Leeds,A,A,Graham Barber,33.47,10.0,-23.47,53.15,12.33,-40.82
2000-08-26,Newcastle,Tottenham,H,H,David Ellaray,25.91,26.39,0.475,25.74,2.46,-23.29
2000-08-26,Southampton,Liverpool,D,A,Jeff Winter,0.0,0.145,0.145,34.0,19.61,-14.4
2000-08-26,West Ham,Man United,D,A,Dermot Gallagher,18.65,42.4,23.75,11.7,9.88,-1.83
2000-08-27,Aston Villa,Chelsea,D,D,Paul Durkin,21.12,20.82,-0.305,52.39,37.72,-14.67
2000-09-05,Leeds,Man City,A,A,Graham Poll,53.15,12.33,-40.82,20.28,1.46,-18.81
2000-09-05,Man United,Bradford,H,H,Ian Harris,11.7,9.88,-1.83,6.61,8.94,2.34
2000-09-05,Sunderland,West Ham,D,D,Peter Jones,16.87,5.53,-11.34,18.65,42.4,23.75
2000-09-05,Tottenham,Everton,H,A,Barry Knight,25.74,2.46,-23.29,34.48,35.55,1.07
2000-09-06,Charlton,Southampton,D,D,Mark Halsey,20.8,0.532,-20.27,0.0,0.145,0.145
2000-09-06,Chelsea,Arsenal,D,H,Mike Riley,52.39,37.72,-14.67,56.3,49.53,-6.78
2000-09-06,Coventry,Newcastle,A,A,Alan Wiley,19.0,26.28,7.28,25.91,26.39,0.475
2000-09-06,Derby,Middlesbrough,D,A,Rob Styles,13.33,6.88,-6.45,33.47,10.0,-23.47
2000-09-06,Leicester,Ipswich,H,D,Paul Taylor,11.7,9.7,-2.0,9.6,4.5,-5.1
2000-09-06,Liverpool,Aston Villa,H,H,Neale Barry,34.0,19.61,-14.4,21.12,20.82,-0.305
2000-09-09,Bradford,Arsenal,D,H,Alan Wiley,6.61,8.94,2.34,56.3,49.53,-6.78
2000-09-09,Coventry,Leeds,D,D,Paul Durkin,19.0,26.28,7.28,53.15,12.33,-40.82
2000-09-09,Ipswich,Aston Villa,A,A,Andy D'Urso,9.6,4.5,-5.1,21.12,20.82,-0.305
2000-09-09,Leicester,Southampton,H,D,Mike Dean,11.7,9.7,-2.0,0.0,0.145,0.145
2000-09-09,Liverpool,Man City,H,H,Graham Barber,34.0,19.61,-14.4,20.28,1.46,-18.81
