Date,HomeTeam,AwayTeam,FTR,HomeAvgGoal_25,AwayAvgGoal_25
2000-08-19,Charlton,Man City,H,,
2000-08-19,Chelsea,West Ham,H,,
2000-08-19,Coventry,Middlesbrough,A,,
2000-08-19,Derby,Southampton,D,,
2000-08-19,Leeds,Everton,H,,
2000-08-19,Leicester,Aston Villa,D,,
2000-08-19,Liverpool,Bradford,H,,
2000-08-19,Sunderland,Arsenal,H,,
2000-08-19,Tottenham,Ipswich,H,,
2000-08-20,Man United,Newcastle,H,,
2000-08-21,Arsenal,Liverpool,H,,
2000-08-22,Bradford,Chelsea,H,,
2000-08-22,Ipswich,Man United,D,,
2000-08-22,Middlesbrough,Tottenham,D,,
2000-08-23,West Ham,Leicester,A,,
2000-08-23,Newcastle,Derby,H,,
2000-08-23,Southampton,Coventry,A,,
2000-08-23,Everton,Charlton,H,,
2000-08-23,Man City,Sunderland,H,,
2000-08-26,Southampton,Liverpool,D,,
2000-08-26,Arsenal,Charlton,H,,
2000-08-26,Bradford,Leicester,D,,
2000-08-26,Everton,Derby,D,,
2000-08-26,Ipswich,Sunderland,H,,
2000-08-26,Man City,Coventry,A,,
2000-08-26,Middlesbrough,Leeds,A,,
2000-08-26,Newcastle,Tottenham,H,,
2000-08-26,West Ham,Man United,D,,
2000-08-27,Aston Villa,Chelsea,D,,
2000-09-05,Leeds,Man City,A,,
2000-09-05,Man United,Bradford,H,,
2000-09-05,Sunderland,West Ham,D,,
2000-09-05,Tottenham,Everton,H,,
2000-09-06,Leicester,Ipswich,H,,
2000-09-06,Liverpool,Aston Villa,H,,
2000-09-06,Derby,Middlesbrough,D,,
2000-09-06,Charlton,Southampton,D,,
2000-09-06,Chelsea,Arsenal,D,,
2000-09-06,Coventry,Newcastle,A,,
2000-09-09,Bradford,Arsenal,D,,
2000-09-09,Coventry,Leeds,D,,
2000-09-09,Ipswich,Aston Villa,A,,
2000-09-09,Leicester,Southampton,H,,
2000-09-09,Liverpool,Man City,H,,
2000-09-09,Man United,Sunderland,H,,
2000-09-09,Middlesbrough,Everton,A,,
2000-09-09,Newcastle,Chelsea,D,,
2000-09-10,Derby,Charlton,D,,
2000-09-11,Tottenham,West Ham,H,,
2000-09-16,Sunderland,Derby,H,,
2000-09-16,Southampton,Newcastle,H,,
2000-09-16,Leeds,Ipswich,A,,
2000-09-16,Everton,Man United,A,,
2000-09-16,Aston Villa,Bradford,H,,
2000-09-16,Arsenal,Coventry,H,,
2000-09-16,Charlton,Tottenham,H,,
2000-09-17,Chelsea,Leicester,A,,
2000-09-17,Man City,Middlesbrough,D,,
2000-09-17,West Ham,Liverpool,D,,
2000-09-23,Newcastle,Charlton,A,,
2000-09-23,Bradford,Southampton,A,,
2000-09-23,Coventry,West Ham,A,,
2000-09-23,Derby,Leeds,D,,
2000-09-23,Ipswich,Arsenal,D,,
2000-09-23,Liverpool,Sunderland,D,,
2000-09-23,Man United,Chelsea,D,,
2000-09-23,Middlesbrough,Aston Villa,D,,
2000-09-23,Tottenham,Man City,D,,
2000-09-24,Leicester,Everton,D,,
2000-09-30,Aston Villa,Derby,H,,
2000-09-30,Charlton,Coventry,D,,
2000-09-30,Everton,Ipswich,A,,
2000-09-30,Leeds,Tottenham,H,,
2000-09-30,Man City,Newcastle,A,,
2000-09-30,Southampton,Middlesbrough,A,,
2000-09-30,West Ham,Bradford,D,,
2000-10-01,Arsenal,Man United,H,,
2000-10-01,Chelsea,Liverpool,H,,
2000-10-01,Sunderland,Leicester,D,,
2000-10-14,Sunderland,Chelsea,H,,
2000-10-14,Leicester,Man United,A,,
2000-10-14,Leeds,Charlton,H,,
2000-10-14,Man City,Bradford,H,,
2000-10-14,Everton,Southampton,D,,
2000-10-14,Coventry,Tottenham,H,,
2000-10-14,Arsenal,Aston Villa,H,,
2000-10-14,Ipswich,West Ham,D,,
2000-10-15,Derby,Liverpool,A,,
2000-10-16,Middlesbrough,Newcastle,A,,
2000-10-21,West Ham,Arsenal,A,,
2000-10-21,Tottenham,Derby,H,,
2000-10-21,Newcastle,Everton,A,,
2000-10-21,Man United,Leeds,H,,
2000-10-21,Liverpool,Leicester,H,,
2000-10-21,Charlton,Middlesbrough,H,,
2000-10-21,Bradford,Ipswich,A,,
2000-10-21,Chelsea,Coventry,H,,
2000-10-22,Aston Villa,Sunderland,D,,
2000-10-23,Southampton,Man City,A,,
2000-10-28,Sunderland,Coventry,H,,
2000-10-28,West Ham,Newcastle,H,,
2000-10-28,Man United,Southampton,H,,
2000-10-28,Leicester,Derby,H,,
2000-10-28,Chelsea,Tottenham,H,,
2000-10-28,Aston Villa,Charlton,H,,
2000-10-28,Arsenal,Man City,H,,
2000-10-28,Ipswich,Middlesbrough,H,,
2000-10-29,Bradford,Leeds,D,,
2000-10-29,Liverpool,Everton,H,,
2000-11-04,Man City,Leicester,A,,
2000-11-04,Charlton,Bradford,H,,
2000-11-04,Coventry,Man United,A,,
2000-11-04,Leeds,Liverpool,H,,
2000-11-04,Middlesbrough,Arsenal,A,,
2000-11-04,Newcastle,Ipswich,H,,
2000-11-04,Southampton,Chelsea,H,,
2000-11-04,Tottenham,Sunderland,H,,
2000-11-05,Everton,Aston Villa,A,,
2000-11-06,Derby,West Ham,D,,
2000-11-11,Sunderland,Southampton,D,,
2000-11-11,Man United,Middlesbrough,H,,
2000-11-11,West Ham,Man City,H,,
2000-11-11,Leicester,Newcastle,D,,
2000-11-11,Aston Villa,Tottenham,H,,
2000-11-11,Bradford,Everton,A,,
2000-11-11,Arsenal,Derby,D,,
2000-11-11,Ipswich,Charlton,H,,
2000-11-12,Chelsea,Leeds,D,,
2000-11-12,Liverpool,Coventry,H,,
2000-11-18,Middlesbrough,Leicester,A,,
2000-11-18,Newcastle,Sunderland,A,,
2000-11-18,Man City,Man United,A,,
2000-11-18,Southampton,Aston Villa,H,,
2000-11-18,Everton,Arsenal,H,,
2000-11-18,Derby,Bradford,H,,
2000-11-18,Charlton,Chelsea,H,,
2000-11-18,Leeds,West Ham,A,,
2000-11-19,Tottenham,Liverpool,H,,
2000-11-20,Coventry,Ipswich,A,,
2000-11-25,Charlton,Sunderland,A,,
2000-11-25,Coventry,Aston Villa,D,,
2000-11-25,Derby,Man United,A,,
2000-11-25,Everton,Chelsea,H,,
2000-11-25,Man City,Ipswich,A,,
2000-11-25,Middlesbrough,Bradford,D,,
2000-11-25,Southampton,West Ham,A,,
2000-11-25,Tottenham,Leicester,H,,
2000-11-26,Leeds,Arsenal,H,,
2000-11-26,Newcastle,Liverpool,H,,
2000-12-02,West Ham,Middlesbrough,H,,
2000-12-02,Liverpool,Charlton,H,,
2000-12-02,Leicester,Leeds,H,,
2000-12-02,Man United,Tottenham,H,,
2000-12-02,Bradford,Coventry,H,,
2000-12-02,Aston Villa,Newcastle,D,,
2000-12-02,Arsenal,Southampton,H,,
2000-12-02,Ipswich,Derby,A,,
2000-12-03,Chelsea,Man City,H,,
2000-12-04,Sunderland,Everton,H,,
2000-12-09,West Ham,Aston Villa,D,,
2000-12-09,Sunderland,Middlesbrough,H,,
2000-12-09,Southampton,Leeds,H,,
2000-12-09,Man City,Everton,H,,
2000-12-09,Chelsea,Derby,H,,
2000-12-09,Bradford,Tottenham,D,,
2000-12-09,Arsenal,Newcastle,H,,
