HomeTeam,AwayTeam,HomeElo,AwayElo,FTR,Date,HomeElo_prev_1,AwayElo_prev_1,HomeFTR_prev_1,AwayFTR_prev_1,HomeElo_prev_2,AwayElo_prev_2,HomeFTR_prev_2,AwayFTR_prev_2,HomeElo_prev_3,AwayElo_prev_3,HomeFTR_prev_3,AwayFTR_prev_3,HomeElo_prev_4,AwayElo_prev_4,HomeFTR_prev_4,AwayFTR_prev_4,HomeElo_prev_5,AwayElo_prev_5,HomeFTR_prev_5,AwayFTR_prev_5
Charlton,Man City,1500.0,1500.0,1,2000-08-19,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Chelsea,West Ham,1500.0,1500.0,1,2000-08-19,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Coventry,Middlesbrough,1500.0,1500.0,-1,2000-08-19,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Derby,Southampton,1500.0,1500.0,0,2000-08-19,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Leeds,Everton,1500.0,1500.0,1,2000-08-19,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Leicester,Aston Villa,1500.0,1500.0,0,2000-08-19,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Liverpool,Bradford,1500.0,1500.0,1,2000-08-19,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Sunderland,Arsenal,1500.0,1500.0,1,2000-08-19,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Tottenham,Ipswich,1500.0,1500.0,1,2000-08-19,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Man United,Newcastle,1500.0,1500.0,1,2000-08-20,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Arsenal,Liverpool,1485.0,1515.0,1,2000-08-21,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Bradford,Chelsea,1485.0,1515.0,1,2000-08-22,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Ipswich,Man United,1485.0,1515.0,0,2000-08-22,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Middlesbrough,Tottenham,1515.0,1515.0,0,2000-08-22,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
West Ham,Leicester,1485.0,1500.0,-1,2000-08-23,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Newcastle,Derby,1485.0,1500.0,1,2000-08-23,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Southampton,Coventry,1500.0,1485.0,-1,2000-08-23,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Everton,Charlton,1485.0,1515.0,1,2000-08-23,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Man City,Sunderland,1485.0,1515.0,1,2000-08-23,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Southampton,Liverpool,1484.3528000084657,1498.7080052393337,0,2000-08-26,1500.0,1515.0,-1,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Arsenal,Charlton,1501.2919947606663,1498.7080052393337,1,2000-08-26,1485.0,1515.0,1,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Bradford,Leicester,1501.2919947606663,1514.3528000084657,0,2000-08-26,1485.0,1500.0,1,-1,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Everton,Derby,1501.2919947606663,1484.3528000084657,0,2000-08-26,1485.0,1500.0,1,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Ipswich,Sunderland,1486.2919947606663,1498.7080052393337,1,2000-08-26,1485.0,1515.0,0,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Man City,Coventry,1501.2919947606663,1500.6471999915343,-1,2000-08-26,1485.0,1485.0,1,-1,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Middlesbrough,Leeds,1515.0,1515.0,-1,2000-08-26,1515.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Newcastle,Tottenham,1500.6471999915343,1515.0,1,2000-08-26,1485.0,1515.0,1,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
West Ham,Man United,1470.6471999915343,1513.7080052393337,0,2000-08-26,1485.0,1515.0,-1,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Aston Villa,Chelsea,1500.0,1498.7080052393337,0,2000-08-27,1500.0,1515.0,0,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Leeds,Man City,1530.0,1486.264156764687,-1,2000-09-05,1500.0,1500.0,1,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Man United,Bradford,1511.8583817563415,1501.8556095830388,1,2000-09-05,1500.0,1500.0,1,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Sunderland,West Ham,1483.172191049052,1472.4968234745265,0,2000-09-05,1500.0,1500.0,1,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Tottenham,Everton,1499.3806920701602,1500.5612498479893,1,2000-09-05,1500.0,1500.0,1,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Leicester,Ipswich,1513.7891851860932,1501.827808950948,1,2000-09-06,1500.0,1500.0,0,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Liverpool,Aston Villa,1498.088593644737,1499.9442203594372,1,2000-09-06,1500.0,1500.0,1,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Derby,Middlesbrough,1485.0835449211427,1500.0,0,2000-09-06,1500.0,1500.0,0,-1,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Charlton,Southampton,1483.8195629778052,1484.9722116030623,0,2000-09-06,1500.0,1500.0,1,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Chelsea,Arsenal,1498.7637848798965,1516.1804370221948,0,2000-09-06,1500.0,1500.0,1,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Coventry,Newcastle,1515.6750379875136,1516.2665079213741,-1,2000-09-06,1500.0,1500.0,-1,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Bradford,Arsenal,1487.2873446932392,1515.4291289281755,0,2000-09-09,1501.2919947606663,1516.1804370221948,0,0,1485.0,1500.0,1,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Coventry,Leeds,1500.7005737725824,1513.121682822967,0,2000-09-09,1515.6750379875136,1515.0,-1,-1,1500.0,1500.0,-1,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Ipswich,Aston Villa,1487.3440191432126,1484.8641072759756,-1,2000-09-09,1486.2919947606663,1499.9442203594372,1,1,1485.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Leicester,Southampton,1528.2729749938287,1484.922447944223,1,2000-09-09,1513.7891851860932,1484.9722116030623,1,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Liverpool,Man City,1513.1687067281987,1503.14247394172,1,2000-09-09,1498.088593644737,1486.264156764687,1,-1,1500.0,1500.0,1,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Man United,Sunderland,1526.426646646141,1482.7114433699269,1,2000-09-09,1511.8583817563415,1498.7080052393337,1,1,1500.0,1515.0,1,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
