FTR,HomeTeamExpenditure,HomeTeamIncome,HomeTeamBalance,AwayTeamExpenditure,AwayTeamIncome,AwayTeamBalance
H,20.8,0.532,-20.27,20.28,1.46,-18.81
H,52.39,37.72,-14.67,18.65,42.4,23.75
A,19.0,26.28,7.28,33.47,10.0,-23.47
D,13.33,6.88,-6.45,0.0,0.145,0.145
H,53.15,12.33,-40.82,34.48,35.55,1.07
D,11.7,9.7,-2.0,21.12,20.82,-0.305
H,34.0,19.61,-14.4,6.61,8.94,2.34
H,16.87,5.53,-11.34,56.3,49.53,-6.78
H,25.74,2.46,-23.29,9.6,4.5,-5.1
H,11.7,9.88,-1.83,25.91,26.39,0.475
H,56.3,49.53,-6.78,34.0,19.61,-14.4
H,6.61,8.94,2.34,52.39,37.72,-14.67
D,9.6,4.5,-5.1,11.7,9.88,-1.83
D,33.47,10.0,-23.47,25.74,2.46,-23.29
H,34.48,35.55,1.07,20.8,0.532,-20.27
H,20.28,1.46,-18.81,16.87,5.53,-11.34
H,25.91,26.39,0.475,13.33,6.88,-6.45
A,0.0,0.145,0.145,19.0,26.28,7.28
A,18.65,42.4,23.75,11.7,9.7,-2.0
H,56.3,49.53,-6.78,20.8,0.532,-20.27
D,6.61,8.94,2.34,11.7,9.7,-2.0
D,34.48,35.55,1.07,13.33,6.88,-6.45
H,9.6,4.5,-5.1,16.87,5.53,-11.34
A,20.28,1.46,-18.81,19.0,26.28,7.28
A,33.47,10.0,-23.47,53.15,12.33,-40.82
H,25.91,26.39,0.475,25.74,2.46,-23.29
D,0.0,0.145,0.145,34.0,19.61,-14.4
D,18.65,42.4,23.75,11.7,9.88,-1.83
D,21.12,20.82,-0.305,52.39,37.72,-14.67
A,53.15,12.33,-40.82,20.28,1.46,-18.81
H,11.7,9.88,-1.83,6.61,8.94,2.34
D,16.87,5.53,-11.34,18.65,42.4,23.75
H,25.74,2.46,-23.29,34.48,35.55,1.07
D,20.8,0.532,-20.27,0.0,0.145,0.145
D,52.39,37.72,-14.67,56.3,49.53,-6.78
A,19.0,26.28,7.28,25.91,26.39,0.475
D,13.33,6.88,-6.45,33.47,10.0,-23.47
H,11.7,9.7,-2.0,9.6,4.5,-5.1
H,34.0,19.61,-14.4,21.12,20.82,-0.305
D,6.61,8.94,2.34,56.3,49.53,-6.78
D,19.0,26.28,7.28,53.15,12.33,-40.82
A,9.6,4.5,-5.1,21.12,20.82,-0.305
H,11.7,9.7,-2.0,0.0,0.145,0.145
H,34.0,19.61,-14.4,20.28,1.46,-18.81
H,11.7,9.88,-1.83,16.87,5.53,-11.34
A,33.47,10.0,-23.47,34.48,35.55,1.07
D,25.91,26.39,0.475,52.39,37.72,-14.67
D,13.33,6.88,-6.45,20.8,0.532,-20.27
H,25.74,2.46,-23.29,18.65,42.4,23.75
H,56.3,49.53,-6.78,19.0,26.28,7.28
H,21.12,20.82,-0.305,6.61,8.94,2.34
H,20.8,0.532,-20.27,25.74,2.46,-23.29
A,34.48,35.55,1.07,11.7,9.88,-1.83
A,53.15,12.33,-40.82,9.6,4.5,-5.1
H,0.0,0.145,0.145,25.91,26.39,0.475
H,16.87,5.53,-11.34,13.33,6.88,-6.45
A,52.39,37.72,-14.67,11.7,9.7,-2.0
D,20.28,1.46,-18.81,33.47,10.0,-23.47
D,18.65,42.4,23.75,34.0,19.61,-14.4
A,6.61,8.94,2.34,0.0,0.145,0.145
A,19.0,26.28,7.28,18.65,42.4,23.75
D,13.33,6.88,-6.45,53.15,12.33,-40.82
D,9.6,4.5,-5.1,56.3,49.53,-6.78
D,34.0,19.61,-14.4,16.87,5.53,-11.34
D,11.7,9.88,-1.83,52.39,37.72,-14.67
D,33.47,10.0,-23.47,21.12,20.82,-0.305
A,25.91,26.39,0.475,20.8,0.532,-20.27
D,25.74,2.46,-23.29,20.28,1.46,-18.81
D,11.7,9.7,-2.0,34.48,35.55,1.07
H,21.12,20.82,-0.305,13.33,6.88,-6.45
D,20.8,0.532,-20.27,19.0,26.28,7.28
A,34.48,35.55,1.07,9.6,4.5,-5.1
H,53.15,12.33,-40.82,25.74,2.46,-23.29
A,20.28,1.46,-18.81,25.91,26.39,0.475
A,0.0,0.145,0.145,33.47,10.0,-23.47
D,18.65,42.4,23.75,6.61,8.94,2.34
H,56.3,49.53,-6.78,11.7,9.88,-1.83
H,52.39,37.72,-14.67,34.0,19.61,-14.4
D,16.87,5.53,-11.34,11.7,9.7,-2.0
H,56.3,49.53,-6.78,21.12,20.82,-0.305
H,19.0,26.28,7.28,25.74,2.46,-23.29
D,34.48,35.55,1.07,0.0,0.145,0.145
D,9.6,4.5,-5.1,18.65,42.4,23.75
H,53.15,12.33,-40.82,20.8,0.532,-20.27
A,11.7,9.7,-2.0,11.7,9.88,-1.83
H,20.28,1.46,-18.81,6.61,8.94,2.34
H,16.87,5.53,-11.34,52.39,37.72,-14.67
A,13.33,6.88,-6.45,34.0,19.61,-14.4
A,33.47,10.0,-23.47,25.91,26.39,0.475
A,6.61,8.94,2.34,9.6,4.5,-5.1
H,20.8,0.532,-20.27,33.47,10.0,-23.47
H,52.39,37.72,-14.67,19.0,26.28,7.28
H,34.0,19.61,-14.4,11.7,9.7,-2.0
H,11.7,9.88,-1.83,53.15,12.33,-40.82
A,25.91,26.39,0.475,34.48,35.55,1.07
H,25.74,2.46,-23.29,13.33,6.88,-6.45
A,18.65,42.4,23.75,56.3,49.53,-6.78
D,21.12,20.82,-0.305,16.87,5.53,-11.34
A,0.0,0.145,0.145,20.28,1.46,-18.81
H,56.3,49.53,-6.78,20.28,1.46,-18.81
H,21.12,20.82,-0.305,20.8,0.532,-20.27
H,52.39,37.72,-14.67,25.74,2.46,-23.29
H,9.6,4.5,-5.1,33.47,10.0,-23.47
H,11.7,9.7,-2.0,13.33,6.88,-6.45
H,11.7,9.88,-1.83,0.0,0.145,0.145
H,16.87,5.53,-11.34,19.0,26.28,7.28
H,18.65,42.4,23.75,25.91,26.39,0.475
D,6.61,8.94,2.34,53.15,12.33,-40.82
H,34.0,19.61,-14.4,34.48,35.55,1.07
H,20.8,0.532,-20.27,6.61,8.94,2.34
A,19.0,26.28,7.28,11.7,9.88,-1.83
H,53.15,12.33,-40.82,34.0,19.61,-14.4
A,20.28,1.46,-18.81,11.7,9.7,-2.0
A,33.47,10.0,-23.47,56.3,49.53,-6.78
H,25.91,26.39,0.475,9.6,4.5,-5.1
H,0.0,0.145,0.145,52.39,37.72,-14.67
H,25.74,2.46,-23.29,16.87,5.53,-11.34
A,34.48,35.55,1.07,21.12,20.82,-0.305
D,13.33,6.88,-6.45,18.65,42.4,23.75
D,56.3,49.53,-6.78,13.33,6.88,-6.45
H,21.12,20.82,-0.305,25.74,2.46,-23.29
A,6.61,8.94,2.34,34.48,35.55,1.07
H,9.6,4.5,-5.1,20.8,0.532,-20.27
D,11.7,9.7,-2.0,25.91,26.39,0.475
H,11.7,9.88,-1.83,33.47,10.0,-23.47
D,16.87,5.53,-11.34,0.0,0.145,0.145
H,18.65,42.4,23.75,20.28,1.46,-18.81
D,52.39,37.72,-14.67,53.15,12.33,-40.82
H,34.0,19.61,-14.4,19.0,26.28,7.28
H,20.8,0.532,-20.27,52.39,37.72,-14.67
H,13.33,6.88,-6.45,6.61,8.94,2.34
H,34.48,35.55,1.07,56.3,49.53,-6.78
A,53.15,12.33,-40.82,18.65,42.4,23.75
A,20.28,1.46,-18.81,11.7,9.88,-1.83
A,33.47,10.0,-23.47,11.7,9.7,-2.0
A,25.91,26.39,0.475,16.87,5.53,-11.34
H,0.0,0.145,0.145,21.12,20.82,-0.305
H,25.74,2.46,-23.29,34.0,19.61,-14.4
A,19.0,26.28,7.28,9.6,4.5,-5.1
A,20.8,0.532,-20.27,16.87,5.53,-11.34
D,19.0,26.28,7.28,21.12,20.82,-0.305
A,13.33,6.88,-6.45,11.7,9.88,-1.83
H,34.48,35.55,1.07,52.39,37.72,-14.67
A,20.28,1.46,-18.81,9.6,4.5,-5.1
D,33.47,10.0,-23.47,6.61,8.94,2.34
A,0.0,0.145,0.145,18.65,42.4,23.75
H,25.74,2.46,-23.29,11.7,9.7,-2.0
H,53.15,12.33,-40.82,56.3,49.53,-6.78
H,25.91,26.39,0.475,34.0,19.61,-14.4
H,56.3,49.53,-6.78,0.0,0.145,0.145
D,21.12,20.82,-0.305,25.91,26.39,0.475
H,6.61,8.94,2.34,19.0,26.28,7.28
A,9.6,4.5,-5.1,13.33,6.88,-6.45
H,11.7,9.7,-2.0,53.15,12.33,-40.82
H,34.0,19.61,-14.4,20.8,0.532,-20.27
H,11.7,9.88,-1.83,25.74,2.46,-23.29
H,18.65,42.4,23.75,33.47,10.0,-23.47
H,52.39,37.72,-14.67,20.28,1.46,-18.81
H,16.87,5.53,-11.34,34.48,35.55,1.07
H,56.3,49.53,-6.78,25.91,26.39,0.475
D,6.61,8.94,2.34,25.74,2.46,-23.29
D,20.8,0.532,-20.27,11.7,9.88,-1.83
H,52.39,37.72,-14.67,13.33,6.88,-6.45
H,20.28,1.46,-18.81,34.48,35.55,1.07
H,0.0,0.145,0.145,53.15,12.33,-40.82
H,16.87,5.53,-11.34,33.47,10.0,-23.47
D,18.65,42.4,23.75,21.12,20.82,-0.305
H,19.0,26.28,7.28,11.7,9.7,-2.0
A,34.0,19.61,-14.4,9.6,4.5,-5.1
D,21.12,20.82,-0.305,20.28,1.46,-18.81
H,13.33,6.88,-6.45,19.0,26.28,7.28
D,34.48,35.55,1.07,18.65,42.4,23.75
H,9.6,4.5,-5.1,0.0,0.145,0.145
H,53.15,12.33,-40.82,16.87,5.53,-11.34
H,11.7,9.7,-2.0,20.8,0.532,-20.27
H,33.47,10.0,-23.47,52.39,37.72,-14.67
H,25.91,26.39,0.475,6.61,8.94,2.34
A,11.7,9.88,-1.83,34.0,19.61,-14.4
D,25.74,2.46,-23.29,56.3,49.53,-6.78
D,19.0,26.28,7.28,0.0,0.145,0.145
H,20.8,0.532,-20.27,34.48,35.55,1.07
H,52.39,37.72,-14.67,6.61,8.94,2.34
H,13.33,6.88,-6.45,25.91,26.39,0.475
A,53.15,12.33,-40.82,21.12,20.82,-0.305
H,11.7,9.7,-2.0,18.65,42.4,23.75
H,34.0,19.61,-14.4,56.3,49.53,-6.78
H,11.7,9.88,-1.83,9.6,4.5,-5.1
H,16.87,5.53,-11.34,20.28,1.46,-18.81
D,25.74,2.46,-23.29,33.47,10.0,-23.47
H,56.3,49.53,-6.78,11.7,9.7,-2.0
A,21.12,20.82,-0.305,11.7,9.88,-1.83
A,6.61,8.94,2.34,16.87,5.53,-11.34
A,34.48,35.55,1.07,19.0,26.28,7.28
D,9.6,4.5,-5.1,52.39,37.72,-14.67
D,20.28,1.46,-18.81,13.33,6.88,-6.45
H,33.47,10.0,-23.47,34.0,19.61,-14.4
H,25.91,26.39,0.475,53.15,12.33,-40.82
H,18.65,42.4,23.75,20.8,0.532,-20.27
H,0.0,0.145,0.145,25.74,2.46,-23.29
D,56.3,49.53,-6.78,16.87,5.53,-11.34
H,9.6,4.5,-5.1,25.74,2.46,-23.29
A,20.28,1.46,-18.81,20.8,0.532,-20.27
D,33.47,10.0,-23.47,19.0,26.28,7.28
D,25.91,26.39,0.475,11.7,9.88,-1.83
H,0.0,0.145,0.145,13.33,6.88,-6.45
H,20.8,0.532,-20.27,56.3,49.53,-6.78
H,52.39,37.72,-14.67,21.12,20.82,-0.305
D,19.0,26.28,7.28,20.28,1.46,-18.81
H,13.33,6.88,-6.45,34.48,35.55,1.07
D,53.15,12.33,-40.82,33.47,10.0,-23.47
A,11.7,9.7,-2.0,6.61,8.94,2.34
H,34.0,19.61,-14.4,0.0,0.145,0.145
H,11.7,9.88,-1.83,18.65,42.4,23.75
H,16.87,5.53,-11.34,9.6,4.5,-5.1
H,25.74,2.46,-23.29,25.91,26.39,0.475
D,56.3,49.53,-6.78,52.39,37.72,-14.67
A,21.12,20.82,-0.305,34.0,19.61,-14.4
A,6.61,8.94,2.34,11.7,9.88,-1.83
D,34.48,35.55,1.07,25.74,2.46,-23.29
A,20.28,1.46,-18.81,53.15,12.33,-40.82
H,33.47,10.0,-23.47,13.33,6.88,-6.45
H,25.91,26.39,0.475,19.0,26.28,7.28
D,0.0,0.145,0.145,20.8,0.532,-20.27
A,18.65,42.4,23.75,16.87,5.53,-11.34
H,9.6,4.5,-5.1,11.7,9.7,-2.0
H,52.39,37.72,-14.67,9.6,4.5,-5.1
A,19.0,26.28,7.28,34.48,35.55,1.07
D,13.33,6.88,-6.45,20.28,1.46,-18.81
A,53.15,12.33,-40.82,25.91,26.39,0.475
D,11.7,9.7,-2.0,56.3,49.53,-6.78
D,34.0,19.61,-14.4,33.47,10.0,-23.47
H,11.7,9.88,-1.83,21.12,20.82,-0.305
D,25.74,2.46,-23.29,0.0,0.145,0.145
D,16.87,5.53,-11.34,6.61,8.94,2.34
D,20.8,0.532,-20.27,18.65,42.4,23.75
A,21.12,20.82,-0.305,53.15,12.33,-40.82
H,56.3,49.53,-6.78,6.61,8.94,2.34
H,20.8,0.532,-20.27,13.33,6.88,-6.45
H,52.39,37.72,-14.67,25.91,26.39,0.475
D,34.48,35.55,1.07,33.47,10.0,-23.47
H,53.15,12.33,-40.82,19.0,26.28,7.28
D,20.28,1.46,-18.81,34.0,19.61,-14.4
H,0.0,0.145,0.145,11.7,9.7,-2.0
A,16.87,5.53,-11.34,11.7,9.88,-1.83
D,18.65,42.4,23.75,25.74,2.46,-23.29
A,6.61,8.94,2.34,21.12,20.82,-0.305
A,19.0,26.28,7.28,56.3,49.53,-6.78
H,13.33,6.88,-6.45,16.87,5.53,-11.34
A,9.6,4.5,-5.1,53.15,12.33,-40.82
H,11.7,9.7,-2.0,52.39,37.72,-14.67
H,34.0,19.61,-14.4,18.65,42.4,23.75
H,11.7,9.88,-1.83,34.48,35.55,1.07
D,33.47,10.0,-23.47,20.28,1.46,-18.81
D,25.74,2.46,-23.29,20.8,0.532,-20.27
D,34.48,35.55,1.07,53.15,12.33,-40.82
H,56.3,49.53,-6.78,9.6,4.5,-5.1
D,21.12,20.82,-0.305,33.47,10.0,-23.47
D,52.39,37.72,-14.67,11.7,9.88,-1.83
H,34.48,35.55,1.07,11.7,9.7,-2.0
D,53.15,12.33,-40.82,13.33,6.88,-6.45
A,20.28,1.46,-18.81,25.74,2.46,-23.29
H,0.0,0.145,0.145,6.61,8.94,2.34
D,16.87,5.53,-11.34,34.0,19.61,-14.4
H,20.8,0.532,-20.27,25.91,26.39,0.475
D,18.65,42.4,23.75,19.0,26.28,7.28
A,6.61,8.94,2.34,18.65,42.4,23.75
D,19.0,26.28,7.28,20.8,0.532,-20.27
H,13.33,6.88,-6.45,21.12,20.82,-0.305
H,9.6,4.5,-5.1,34.48,35.55,1.07
H,11.7,9.7,-2.0,16.87,5.53,-11.34
A,33.47,10.0,-23.47,0.0,0.145,0.145
A,25.91,26.39,0.475,20.28,1.46,-18.81
A,25.74,2.46,-23.29,53.15,12.33,-40.82
H,11.7,9.88,-1.83,56.3,49.53,-6.78
H,56.3,49.53,-6.78,18.65,42.4,23.75
D,19.0,26.28,7.28,52.39,37.72,-14.67
H,13.33,6.88,-6.45,25.74,2.46,-23.29
D,34.48,35.55,1.07,25.91,26.39,0.475
D,53.15,12.33,-40.82,11.7,9.88,-1.83
H,11.7,9.7,-2.0,34.0,19.61,-14.4
A,20.28,1.46,-18.81,0.0,0.145,0.145
D,33.47,10.0,-23.47,20.8,0.532,-20.27
H,9.6,4.5,-5.1,6.61,8.94,2.34
D,16.87,5.53,-11.34,21.12,20.82,-0.305
A,18.65,42.4,23.75,52.39,37.72,-14.67
H,21.12,20.82,-0.305,9.6,4.5,-5.1
D,6.61,8.94,2.34,20.28,1.46,-18.81
A,20.8,0.532,-20.27,53.15,12.33,-40.82
A,52.39,37.72,-14.67,16.87,5.53,-11.34
H,11.7,9.88,-1.83,11.7,9.7,-2.0
A,25.91,26.39,0.475,33.47,10.0,-23.47
H,0.0,0.145,0.145,34.48,35.55,1.07
H,25.74,2.46,-23.29,19.0,26.28,7.28
A,18.65,42.4,23.75,9.6,4.5,-5.1
D,21.12,20.82,-0.305,56.3,49.53,-6.78
D,34.0,19.61,-14.4,13.33,6.88,-6.45
H,56.3,49.53,-6.78,25.74,2.46,-23.29
D,6.61,8.94,2.34,25.91,26.39,0.475
H,52.39,37.72,-14.67,33.47,10.0,-23.47
H,19.0,26.28,7.28,13.33,6.88,-6.45
H,34.0,19.61,-14.4,11.7,9.88,-1.83
A,20.28,1.46,-18.81,21.12,20.82,-0.305
A,16.87,5.53,-11.34,53.15,12.33,-40.82
A,18.65,42.4,23.75,34.48,35.55,1.07
H,20.8,0.532,-20.27,11.7,9.7,-2.0
A,0.0,0.145,0.145,9.6,4.5,-5.1
H,21.12,20.82,-0.305,11.7,9.7,-2.0
D,21.12,20.82,-0.305,18.65,42.4,23.75
A,13.33,6.88,-6.45,52.39,37.72,-14.67
H,53.15,12.33,-40.82,0.0,0.145,0.145
A,11.7,9.7,-2.0,19.0,26.28,7.28
H,34.48,35.55,1.07,20.28,1.46,-18.81
D,33.47,10.0,-23.47,16.87,5.53,-11.34
D,9.6,4.5,-5.1,34.0,19.61,-14.4
H,11.7,9.88,-1.83,20.8,0.532,-20.27
H,25.74,2.46,-23.29,6.61,8.94,2.34
A,20.28,1.46,-18.81,56.3,49.53,-6.78
H,6.61,8.94,2.34,20.8,0.532,-20.27
A,34.0,19.61,-14.4,53.15,12.33,-40.82
A,56.3,49.53,-6.78,33.47,10.0,-23.47
H,21.12,20.82,-0.305,34.48,35.55,1.07
H,52.39,37.72,-14.67,0.0,0.145,0.145
H,9.6,4.5,-5.1,25.91,26.39,0.475
A,11.7,9.7,-2.0,20.28,1.46,-18.81
H,11.7,9.88,-1.83,19.0,26.28,7.28
A,16.87,5.53,-11.34,25.74,2.46,-23.29
H,18.65,42.4,23.75,13.33,6.88,-6.45
H,19.0,26.28,7.28,16.87,5.53,-11.34
H,13.33,6.88,-6.45,11.7,9.7,-2.0
A,34.48,35.55,1.07,34.0,19.61,-14.4
A,33.47,10.0,-23.47,9.6,4.5,-5.1
H,25.91,26.39,0.475,18.65,42.4,23.75
D,20.8,0.532,-20.27,21.12,20.82,-0.305
A,25.74,2.46,-23.29,52.39,37.72,-14.67
H,56.3,49.53,-6.78,34.48,35.55,1.07
D,21.12,20.82,-0.305,0.0,0.145,0.145
H,6.61,8.94,2.34,13.33,6.88,-6.45
A,52.39,37.72,-14.67,20.8,0.532,-20.27
H,9.6,4.5,-5.1,19.0,26.28,7.28
A,11.7,9.7,-2.0,33.47,10.0,-23.47
D,11.7,9.88,-1.83,20.28,1.46,-18.81
D,16.87,5.53,-11.34,25.91,26.39,0.475
A,18.65,42.4,23.75,53.15,12.33,-40.82
H,34.0,19.61,-14.4,25.74,2.46,-23.29
A,19.0,26.28,7.28,34.0,19.61,-14.4
A,13.33,6.88,-6.45,56.3,49.53,-6.78
H,34.48,35.55,1.07,6.61,8.94,2.34
H,53.15,12.33,-40.82,52.39,37.72,-14.67
H,20.28,1.46,-18.81,18.65,42.4,23.75
A,33.47,10.0,-23.47,11.7,9.88,-1.83
H,25.91,26.39,0.475,11.7,9.7,-2.0
A,0.0,0.145,0.145,16.87,5.53,-11.34
D,25.74,2.46,-23.29,21.12,20.82,-0.305
H,20.8,0.532,-20.27,9.6,4.5,-5.1
A,6.61,8.94,2.34,34.0,19.61,-14.4
D,25.91,26.39,0.475,0.0,0.145,0.145
H,56.3,49.53,-6.78,53.15,12.33,-40.82
H,21.12,20.82,-0.305,19.0,26.28,7.28
D,6.61,8.94,2.34,33.47,10.0,-23.47
H,52.39,37.72,-14.67,34.48,35.55,1.07
H,11.7,9.7,-2.0,25.74,2.46,-23.29
H,34.0,19.61,-14.4,25.91,26.39,0.475
A,11.7,9.88,-1.83,13.33,6.88,-6.45
H,16.87,5.53,-11.34,20.8,0.532,-20.27
H,18.65,42.4,23.75,0.0,0.145,0.145
H,9.6,4.5,-5.1,20.28,1.46,-18.81
D,34.0,19.61,-14.4,52.39,37.72,-14.67
H,53.15,12.33,-40.82,6.61,8.94,2.34
H,0.0,0.145,0.145,11.7,9.88,-1.83
D,25.91,26.39,0.475,56.3,49.53,-6.78
A,20.8,0.532,-20.27,34.0,19.61,-14.4
D,19.0,26.28,7.28,6.61,8.94,2.34
D,13.33,6.88,-6.45,9.6,4.5,-5.1
D,34.48,35.55,1.07,16.87,5.53,-11.34
H,53.15,12.33,-40.82,11.7,9.7,-2.0
A,20.28,1.46,-18.81,52.39,37.72,-14.67
H,33.47,10.0,-23.47,18.65,42.4,23.75
H,25.91,26.39,0.475,21.12,20.82,-0.305
H,0.0,0.145,0.145,56.3,49.53,-6.78
H,25.74,2.46,-23.29,11.7,9.88,-1.83
A,13.5,1.38,-12.13,10.5,11.93,1.43
H,4.59,17.5,12.92,33.01,10.68,-22.34
H,46.3,4.58,-41.73,19.35,14.45,-4.9
A,19.2,3.03,-16.17,3.13,0.07,-3.06
H,31.56,28.65,-2.91,22.06,18.13,-3.94
A,22.7,5.27,-17.43,32.69,12.0,-20.69
H,29.76,12.89,-16.87,20.23,13.5,-6.73
D,28.05,9.75,-18.3,26.1,16.88,-9.23
D,49.7,14.32,-35.38,31.59,0.89,-30.7
H,85.85,43.6,-42.25,50.6,1.03,-49.58
D,10.5,11.93,1.43,28.05,9.75,-18.3
A,32.69,12.0,-20.69,46.3,4.58,-41.73
H,3.13,0.07,-3.06,22.7,5.27,-17.43
H,20.23,13.5,-6.73,4.59,17.5,12.92
D,33.01,10.68,-22.34,85.85,43.6,-42.25
H,50.6,1.03,-49.58,29.76,12.89,-16.87
H,32.69,12.0,-20.69,19.2,3.03,-16.17
H,33.01,10.68,-22.34,28.05,9.75,-18.3
H,10.5,11.93,1.43,22.7,5.27,-17.43
D,50.6,1.03,-49.58,4.59,17.5,12.92
A,20.23,13.5,-6.73,13.5,1.38,-12.13
A,19.35,14.45,-4.9,49.7,14.32,-35.38
D,22.06,18.13,-3.94,46.3,4.58,-41.73
D,26.1,16.88,-9.23,85.85,43.6,-42.25
D,31.59,0.89,-30.7,29.76,12.89,-16.87
H,3.13,0.07,-3.06,31.56,28.65,-2.91
D,49.7,14.32,-35.38,32.69,12.0,-20.69
D,4.59,17.5,12.92,22.06,18.13,-3.94
D,46.3,4.58,-41.73,3.13,0.07,-3.06
D,19.2,3.03,-16.17,20.23,13.5,-6.73
A,31.56,28.65,-2.91,26.1,16.88,-9.23
H,85.85,43.6,-42.25,10.5,11.93,1.43
A,22.7,5.27,-17.43,31.59,0.89,-30.7
H,29.76,12.89,-16.87,33.01,10.68,-22.34
D,13.5,1.38,-12.13,50.6,1.03,-49.58
H,28.05,9.75,-18.3,19.35,14.45,-4.9
A,3.13,0.07,-3.06,19.35,14.45,-4.9
A,4.59,17.5,12.92,19.2,3.03,-16.17
A,10.5,11.93,1.43,31.56,28.65,-2.91
A,50.6,1.03,-49.58,32.69,12.0,-20.69
H,22.7,5.27,-17.43,22.06,18.13,-3.94
H,31.59,0.89,-30.7,85.85,43.6,-42.25
D,26.1,16.88,-9.23,29.76,12.89,-16.87
A,13.5,1.38,-12.13,46.3,4.58,-41.73
D,20.23,13.5,-6.73,33.01,10.68,-22.34
A,28.05,9.75,-18.3,49.7,14.32,-35.38
A,19.2,3.03,-16.17,22.7,5.27,-17.43
D,33.01,10.68,-22.34,3.13,0.07,-3.06
A,29.76,12.89,-16.87,28.05,9.75,-18.3
D,32.69,12.0,-20.69,3.13,0.07,-3.06
H,33.01,10.68,-22.34,10.5,11.93,1.43
D,19.2,3.03,-16.17,50.6,1.03,-49.58
H,31.56,28.65,-2.91,28.05,9.75,-18.3
H,85.85,43.6,-42.25,20.23,13.5,-6.73
D,29.76,12.89,-16.87,13.5,1.38,-12.13
D,49.7,14.32,-35.38,22.7,5.27,-17.43
H,46.3,4.58,-41.73,4.59,17.5,12.92
H,22.06,18.13,-3.94,31.59,0.89,-30.7
A,19.35,14.45,-4.9,26.1,16.88,-9.23
H,31.59,0.89,-30.7,19.2,3.03,-16.17
A,3.13,0.07,-3.06,29.76,12.89,-16.87
H,13.5,1.38,-12.13,19.2,3.03,-16.17
A,4.59,17.5,12.92,32.69,12.0,-20.69
H,10.5,11.93,1.43,22.06,18.13,-3.94
A,22.7,5.27,-17.43,19.35,14.45,-4.9
A,28.05,9.75,-18.3,85.85,43.6,-42.25
H,26.1,16.88,-9.23,33.01,10.68,-22.34
D,50.6,1.03,-49.58,49.7,14.32,-35.38
A,20.23,13.5,-6.73,46.3,4.58,-41.73
A,31.59,0.89,-30.7,31.56,28.65,-2.91
A,3.13,0.07,-3.06,31.59,0.89,-30.7
D,13.5,1.38,-12.13,22.7,5.27,-17.43
H,49.7,14.32,-35.38,19.2,3.03,-16.17
D,20.23,13.5,-6.73,10.5,11.93,1.43
D,31.56,28.65,-2.91,46.3,4.58,-41.73
A,19.35,14.45,-4.9,32.69,12.0,-20.69
A,29.76,12.89,-16.87,85.85,43.6,-42.25
H,26.1,16.88,-9.23,50.6,1.03,-49.58
H,33.01,10.68,-22.34,22.06,18.13,-3.94
H,28.05,9.75,-18.3,4.59,17.5,12.92
D,32.69,12.0,-20.69,33.01,10.68,-22.34
D,4.59,17.5,12.92,13.5,1.38,-12.13
H,10.5,11.93,1.43,26.1,16.88,-9.23
A,19.2,3.03,-16.17,31.56,28.65,-2.91
A,85.85,43.6,-42.25,3.13,0.07,-3.06
H,22.06,18.13,-3.94,19.35,14.45,-4.9
D,50.6,1.03,-49.58,20.23,13.5,-6.73
D,46.3,4.58,-41.73,49.7,14.32,-35.38
A,31.59,0.89,-30.7,28.05,9.75,-18.3
H,22.7,5.27,-17.43,29.76,12.89,-16.87
H,26.1,16.88,-9.23,13.5,1.38,-12.13
D,19.35,14.45,-4.9,20.23,13.5,-6.73
H,22.06,18.13,-3.94,49.7,14.32,-35.38
H,26.1,16.88,-9.23,3.13,0.07,-3.06
A,13.5,1.38,-12.13,31.56,28.65,-2.91
A,10.5,11.93,1.43,31.59,0.89,-30.7
H,50.6,1.03,-49.58,19.35,14.45,-4.9
D,85.85,43.6,-42.25,46.3,4.58,-41.73
D,29.76,12.89,-16.87,32.69,12.0,-20.69
H,28.05,9.75,-18.3,22.7,5.27,-17.43
D,4.59,17.5,12.92,49.7,14.32,-35.38
A,20.23,13.5,-6.73,22.06,18.13,-3.94
D,33.01,10.68,-22.34,19.2,3.03,-16.17
D,3.13,0.07,-3.06,10.5,11.93,1.43
H,19.2,3.03,-16.17,29.76,12.89,-16.87
H,22.7,5.27,-17.43,4.59,17.5,12.92
H,31.59,0.89,-30.7,26.1,16.88,-9.23
A,19.35,14.45,-4.9,33.01,10.68,-22.34
A,22.06,18.13,-3.94,50.6,1.03,-49.58
A,32.69,12.0,-20.69,13.5,1.38,-12.13
H,49.7,14.32,-35.38,20.23,13.5,-6.73
H,46.3,4.58,-41.73,28.05,9.75,-18.3
H,31.56,28.65,-2.91,85.85,43.6,-42.25
D,26.1,16.88,-9.23,22.7,5.27,-17.43
D,33.01,10.68,-22.34,31.56,28.65,-2.91
H,4.59,17.5,12.92,19.35,14.45,-4.9
H,50.6,1.03,-49.58,31.59,0.89,-30.7
H,85.85,43.6,-42.25,19.2,3.03,-16.17
D,28.05,9.75,-18.3,32.69,12.0,-20.69
D,10.5,11.93,1.43,49.7,14.32,-35.38
A,20.23,13.5,-6.73,3.13,0.07,-3.06
H,29.76,12.89,-16.87,46.3,4.58,-41.73
D,13.5,1.38,-12.13,22.06,18.13,-3.94
D,3.13,0.07,-3.06,50.6,1.03,-49.58
